number,Best_ROC_AUC,params_dropout_rate,params_learning_rate,params_n_layers,params_weight_decay,state,Optimal_Threshold
0,0.8169371197415355,0.2566550399674551,0.0013647457744259954,3,0.0008307323295469837,COMPLETE,0.3428456783294678
1,0.8170933330435284,0.3967842983049963,0.002389218621091284,3,8.437776417960634e-05,COMPLETE,0.3487706184387207
2,0.8166708938601239,0.22902344375392925,0.00014294414035091168,3,0.0005121800123889699,COMPLETE,0.32812294363975525
3,0.8166444869318217,0.43915794304683375,0.001141985953044153,3,0.0031338294374491115,COMPLETE,0.35142213106155396
4,0.8170465915425065,0.37950817954169624,0.0016979081513788467,2,0.0052344280020469956,COMPLETE,0.34620729088783264
5,0.7712152043600452,0.29658818422390276,0.0001733193871522395,3,0.0033946478155478343,PRUNED,0.42013588547706604
6,0.7939526251236232,0.37655507223314744,0.000400433771450177,3,0.0009937448689507455,PRUNED,0.4056997299194336
7,0.8083129642289781,0.24512016496864078,0.0004262053584890505,2,0.00044832846816446467,PRUNED,0.3803839385509491
8,0.7796924668545813,0.3936433363762847,0.00030332552340955063,3,6.728330278458613e-05,PRUNED,0.3842030465602875
9,0.7568779200081563,0.4626371092998862,0.0001371024889908082,3,1.0562213214126933e-05,PRUNED,0.3814174234867096
10,0.8170408807917893,0.31413065023664594,0.006985065608345046,2,6.80111813473522e-05,COMPLETE,0.36169782280921936
11,0.8175727754876572,0.40907288479259946,0.003248473247158883,2,0.008353093761160793,COMPLETE,0.3377039432525635
12,0.8110713382679431,0.49506446444446056,0.004107693328655468,2,9.36223301280258e-05,PRUNED,0.35782375931739807
13,0.8150938210211501,0.4179183003087368,0.0030512952384203246,2,1.8480539771416616e-05,PRUNED,0.3598040044307709
14,0.8075543888901224,0.3444599552801709,0.00901233133070921,2,0.00015848784925111641,PRUNED,0.3656289279460907
15,0.8173387943356233,0.33924655245606916,0.00262332076879495,2,0.008000714071015493,COMPLETE,0.34533366560935974
16,0.8131860067803974,0.34399003016974156,0.00418789040644033,2,0.0017880190590241125,PRUNED,0.3545701503753662
17,0.8090856910231194,0.2957355279320121,0.0007026741501384372,2,0.009206036495880008,PRUNED,0.36341723799705505
18,0.8084147055043063,0.450813148269997,0.0007644977945827828,2,0.0095028947247751,PRUNED,0.370902419090271
19,0.8172813773468091,0.3222959003878553,0.005999209327628004,2,0.0021967729196617743,COMPLETE,0.3423197865486145
20,0.8120011025625549,0.4909995609296564,0.0025037852901877767,2,0.0055782340195949685,PRUNED,0.3525316119194031
21,0.8121977537131801,0.3231504734925549,0.005407768515372358,2,0.0020626472352936833,PRUNED,0.33039164543151855
22,0.8148477472811744,0.26849051398308876,0.008738960320401609,2,0.00489309564211207,PRUNED,0.36237409710884094
23,0.8118777203762088,0.3617201925240576,0.0019349506327839376,2,0.0016614712223197714,PRUNED,0.36797723174095154
24,0.8150431930822475,0.20364073992607878,0.003517086490634507,2,0.00905054444034935,PRUNED,0.35412082076072693
